location,claim,value,raw_data,config,command,output_table
Table III,"Bias and variance, zne/dev_algiers/legacy","bias +0.0714 CI[+0.0691,+0.0737] sd 0.0165 rmse 0.0842",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, zne/dev_algiers/v2","bias -0.0064 CI[-0.0078,-0.0050] sd 0.0096 rmse 0.0116",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, zne_rem/dev_algiers/legacy","bias +0.0807 CI[+0.0781,+0.0835] sd 0.0188 rmse 0.0947",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, zne_rem/dev_algiers/v2","bias -0.0011 CI[-0.0026,+0.0004] sd 0.0106 rmse 0.0105",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, none/dev_lagos/v2","bias -0.1467 CI[-0.1471,-0.1463] sd 0.0030 rmse 0.1494",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, rem/dev_lagos/legacy","bias -0.0953 CI[-0.1033,-0.0878] sd 0.0533 rmse 0.1107",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, rem/dev_lagos/v2","bias -0.1330 CI[-0.1385,-0.1279] sd 0.0365 rmse 0.1393",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, zne/dev_lagos/legacy","bias -0.1092 CI[-0.1107,-0.1076] sd 0.0109 rmse 0.1110",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, zne/dev_lagos/v2","bias -0.1303 CI[-0.1317,-0.1288] sd 0.0101 rmse 0.1344",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, zne_rem/dev_lagos/legacy","bias -0.0644 CI[-0.0785,-0.0511] sd 0.0953 rmse 0.1153",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, zne_rem/dev_lagos/v2","bias -0.1373 CI[-0.1466,-0.1282] sd 0.0636 rmse 0.1532",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Sec.VI,Per-instance mean-ranking winner changes,11/12 conditions (3 mitigated); 11/12 including unmitigated,results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_per_instance_rankings.csv
Sec.III,Realised total shots: maximum relative deviation across methods,0.0000%,results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_cost.json
Sec.III,Empirical stream-collision audit over the realised coordinate set,0 collisions over 5040 coordinates (2880 distinct seeds),results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_cost.json
Sec.III,Total round-2 cost,"5040 cells, 30240000 shots, 45360 executions, 0 scoring shots, 1.63 core-hours",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_cost.json
"Sec.IV-A, oracle table",Defective folding returns a different ideal bitstring under non-identity layout,"0101 -> 1010 / 0011 / 1100 for layouts [3,2,1,0]/[1,3,0,2]/[2,0,3,1]",n/a (deterministic),tests/test_v2_correctness.py,python tests/test_v2_correctness.py,stdout T1
Sec.IV-A,"Folding exactness: Clifford exact, rotations show a constant offset","Clifford max|dp| = 0.0 at scales 3/5/9; with rotations 1.04e-11, constant across scales",n/a (deterministic),tests/test_v2_correctness.py,python tests/test_v2_correctness.py,"stdout T2, T2b"
"Sec.IV-B, Table I","Oracle B: aligned vs virtual-index calibration, unequal response matrices",aligned max error ~1e-16; misindexed up to 1.8e-1; identity layout invisible,n/a (deterministic),tests/test_rem_indexing.py,python tests/test_rem_indexing.py,stdout
Sec.IV-B,Oracle A is blind to the calibration defect at zero readout noise,"with p=0 all response matrices are identity, so permuting them is undetectable",n/a (deterministic),tests/test_rem_indexing.py,python tests/test_rem_indexing.py,"stdout, control block"
Sec.IV-D,Folding amplifies gate noise; readout is a constant attenuation,gate-only <ZZ> 0.980100/0.941480/0.904382 at scales 1/3/5; readout-only 0.810000 at all three = (1-2p)^2,n/a (exact density matrix + explicit response matrix),n/a,python experiments/v2/noise_scaling_audit.py,supplementary/noise_scaling_audit.md
Sec.V,Positive control: M3 used as documented agrees with the corrected implementation,mthree 3.0.0 final_measurement_mapping agrees on all 4 layouts; both recover to ~1e-16; only virtual-index fails,n/a (exact),n/a,python experiments/v2/positive_control_m3.py,supplementary/positive_control_m3.md
Sec.VII (pilot correction),Round-1 pilot was not independent of the round-1 main study,224/224 pilot rows share keys with main-study rows and are bit-for-bit identical,"results/v2/raw/pilot.jsonl, results/v2/raw/main_study.jsonl",configs/v2/pilot.yaml,see REVIEW_RESPONSE_round2.md S1,REVIEW_RESPONSE_round2.md
Sec.VII (pilot correction),Fraction of the round-1 pilot affected by the defects,450/2400 estimation cells (18.8%); 30/40 optimisation runs (75%),"results/v2/raw/stage_a.jsonl, stage_b.jsonl","configs/stage_a.yaml, stage_b.yaml",python experiments/v2/impact_audit.py,results/v2/processed/stage_a_affected.csv
